customer_id,order_date,product_category,size,color,price,rating,returned,customer_age_group,customer_gender,customer_state,purchase_count,issue_type,resolution_status,response_time_mins,satisfaction_score,season
CUST00001,2024-08-17,Dresses,L,Navy,90,3.9,Yes,26-35,Female,NY,15,Sizing,Closed,177,5,All Season
CUST00002,2024-09-24,Tops,M,Green,153,3.9,No,65+,Non-Binary,TX,9,Sizing,Escalated,57,3,Spring
CUST00003,2025-10-19,Shoes,XXL,Blue,166,3.6,No,18-25,Male,OH,6,Return Request,Escalated,76,4,Spring
CUST00004,2025-10-27,Accessories,S,White,113,4.1,No,46-55,Prefer not to say,CA,7,Delivery,Escalated,43,5,Winter
CUST00005,2024-06-30,Tops,XS,Beige,24,4.7,No,26-35,Female,PA,7,Sizing,Resolved,191,4,Summer
CUST00006,2025-01-07,Skirts,XXL,Beige,92,4.5,No,65+,Female,CA,14,Return Request,Resolved,36,5,Winter
CUST00007,2024-07-27,Shoes,L,Blue,118,3.5,No,36-45,Prefer not to say,PA,14,Return Request,Closed,205,5,Spring
CUST00008,2024-10-07,Tops,L,Pink,41,3.6,No,18-25,Female,IL,14,Other,Resolved,121,3,Spring
CUST00009,2024-10-30,Shoes,M,Navy,63,4.2,Yes,18-25,Female,GA,6,Delivery,Closed,161,5,Winter
CUST00010,2025-04-08,Dresses,L,Green,73,3.4,Yes,36-45,Male,CA,3,Product Quality,Closed,144,4,Winter
CUST00011,2025-02-24,Dresses,XL,White,116,4.1,Yes,65+,Female,IL,1,Other,Resolved,24,3,Fall
CUST00012,2024-11-13,Pants,XXL,Red,160,4.3,Yes,26-35,Prefer not to say,GA,12,Sizing,Closed,286,3,Summer
CUST00013,2024-07-31,Shoes,L,Pink,84,4.2,No,56-65,Female,PA,6,Other,Escalated,161,4,Winter
CUST00014,2024-08-13,Tops,XS,White,23,4.5,Yes,65+,Male,PA,12,Payment,Pending,29,3,All Season
CUST00015,2024-08-13,Jackets,M,Green,128,4.1,Yes,56-65,Prefer not to say,FL,14,Return Request,Escalated,232,5,All Season
